Date,Issuer,Symbol,Lead/Joint-Lead Managers,Offer Price,Opening Price,1st Day Close,1st Day % Px Chng,$ Change Opening,$ Change Close
2010-01-22,Cellu Tissue Holdings ,CLU,Goldman Sachs/J.P. Morgan/BofA Merrill Lynch,13.0,12.3,11.9,-8.46,-0.7,-1.1
2010-01-22,Chesapeake Lodging Trust ,CHSP,J.P. Morgan/Dutsche Bank/FBR,20.0,19.25,19.0,-5.0,-0.75,-1.0
2010-01-22,Symetra Financial ,SYA,BofA/JP Morgan/Goldman Sachs/Barclays Capital,12.0,12.7,12.75,6.25,0.7,0.75
2010-01-26,Andatee China Marine Fuel Services ,AMCF,Rodman Renshaw/Newbridge,6.3,6.3,5.77,-8.41,0.0,-0.53
2010-01-28,IFM Investments Limited ,CTC,Goldman Sachs/Morgan Stanley,7.0,7.15,7.3,4.29,0.15,0.3
2010-01-29,China Electric Motor ,CELM,Roth Capital/West Park Capital,4.5,4.7,4.45,-1.11,0.2,-0.05
2010-02-03,Ironwood Pharmaceutical ,IRWD,J.P.Morgan/Morgan Stanley/Credit Suisse,11.25,11.31,11.65,3.56,0.06,0.4
2010-02-09,Solar Capital ,SLRC,Citi/J.P. Morgan/Morgan Stanley/Sun Trust,18.75,17.8,18.0,-4.0,-0.95,-0.75
2010-02-10,Terreno Realty ,TRNO,Goldman Sachs,20.0,18.75,18.65,-6.75,-1.25,-1.35
2010-02-10,Piedmont Office Trust Realty ,PDM,Morgan Stanley/J.P. Morgan,14.5,14.75,15.6,7.59,0.25,1.1
2010-02-11,Generac Holdings ,GNRC,J.P. Morgan/Goldman Sachs,13.0,13.0,12.84,-1.23,0.0,-0.16
2010-02-11,Graham Packaging ,GRM,Citi/Goldman Sachs/Deutsche Bank,10.0,10.0,10.2,2.0,0.0,0.2
2010-02-11,QuinStreet ,QNST,Credit Suisse/BofA Merrill Lynch/J.P. Morgan,15.0,15.1,15.0,0.0,0.1,0.0
2010-02-26,Sprott Physical Gold Trust ,PHYS,Morgan Stanley/RBC,10.0,9.65,9.59,-4.1,-0.35,-0.41
2010-03-01,Anthera Phamaceuticals ,ANTH,Deutsche Bank,7.0,7.0,7.01,0.14,0.0,0.01
2010-03-10,Baltic Trading Limited ,BALT,Morgan Stanley/Dahlman Rose,14.0,14.0,13.96,-0.29,0.0,-0.04
2010-03-11,Sensata Technologies ,ST,Morgan Stanley/Barclays Capital/Goldman Sachs,18.0,18.0,18.5,2.78,0.0,0.5
2010-03-12,AVEO Pharmaceuticals ,AVEO,J.P. Morgan/Morgan Stanley,9.0,8.25,9.0,0.0,-0.75,0.0
2010-03-12,Crude Carriers,CRU,UBS Investment Bank/BofA Merrill Lynch/Wells Fargo Securities,19.0,19.0,19.0,0.0,0.0,0.0
2010-03-16,Financial Engines ,FNGN,Goldman Sachs,12.0,14.95,17.25,43.75,2.95,5.25
2010-03-24,MaxLinear ,MXL,Morgan Stanley/Deutsche Bank,13.0,17.0,18.7,43.85,4.0,5.7
2010-03-24,First Interstate BancSystem ,FIBK,Barclays Capital,14.5,15.98,15.7,8.28,1.48,1.2
2010-03-24,Calix Networks ,CALX,Goldman Sachs/Morgan Stanley,13.0,17.0,15.1,16.15,4.0,2.1
2010-03-26,China Lodging Group ,HTHT,Goldman Sachs/Morgan Stanley,12.25,13.5,13.92,13.63,1.25,1.67
